NAME,     lat,    lon,    alt,    trk,     gs,     vs,     time
unitless,   [deg],    [deg],   [ft],    [deg],   [kn],   [fpm],  [s]
Ownship  0.0000, 0.0000, 6000.0000, 0.0000, 150.0000, 0.0000, 0.0
Intruder0  0.3161, -0.1705, 5600.0000, 135.0000, 212.1320, 0.0000, 0.0
Intruder1  0.2786, 0.1580, 6200.0000, 270.0000, 90.0000, 0.0000, 0.0
Ownship  0.0007, 0.0000, 6000.0000, 0.0000, 150.0000, 0.0000, 1.0
Intruder0  0.3154, -0.1698, 5600.0000, 135.0000, 212.1320, 0.0000, 1.0
Intruder1  0.2786, 0.1576, 6200.0000, 270.0000, 90.0000, 0.0000, 1.0
Ownship  0.0014, 0.0000, 6000.0000, 0.0000, 150.0000, 0.0000, 2.0
Intruder0  0.3147, -0.1691, 5600.0000, 135.0000, 212.1320, 0.0000, 2.0
Intruder1  0.2786, 0.1572, 6200.0000, 270.0000, 90.0000, 0.0000, 2.0
Ownship  0.0021, 0.0000, 6000.0000, 0.0000, 150.0000, 0.0000, 3.0
Intruder0  0.3140, -0.1684, 5600.0000, 135.0000, 212.1320, 0.0000, 3.0
Intruder1  0.2786, 0.1568, 6200.0000, 270.0000, 90.0000, 0.0000, 3.0
Ownship  0.0028, 0.0000, 6000.0000, 0.0000, 150.0000, 0.0000, 4.0
Intruder0  0.3133, -0.1677, 5600.0000, 135.0000, 212.1320, 0.0000, 4.0
Intruder1  0.2786, 0.1564, 6200.0000, 270.0000, 90.0000, 0.0000, 4.0
Ownship  0.0035, 0.0000, 6000.0000, 0.0000, 150.0000, 0.0000, 5.0
Intruder0  0.3126, -0.1671, 5600.0000, 135.0000, 212.1320, 0.0000, 5.0
Intruder1  0.2786, 0.1560, 6200.0000, 270.0000, 90.0000, 0.0000, 5.0
Ownship  0.0042, 0.0000, 6000.0000, 0.0000, 150.0000, 0.0000, 6.0
Intruder0  0.3119, -0.1664, 5600.0000, 135.0000, 212.1320, 0.0000, 6.0
Intruder1  0.2786, 0.1555, 6200.0000, 270.0000, 90.0000, 0.0000, 6.0
Ownship  0.0049, 0.0000, 6000.0000, 0.0000, 150.0000, 0.0000, 7.0
Intruder0  0.3112, -0.1657, 5600.0000, 135.0000, 212.1320, 0.0000, 7.0
Intruder1  0.2786, 0.1551, 6200.0000, 270.0000, 90.0000, 0.0000, 7.0
Ownship  0.0056, 0.0000, 6000.0000, 0.0000, 150.0000, 0.0000, 8.0
Intruder0  0.3105, -0.1650, 5600.0000, 135.0000, 212.1320, 0.0000, 8.0
Intruder1  0.2786, 0.1547, 6200.0000, 270.0000, 90.0000, 0.0000, 8.0
Ownship  0.0062, 0.0000, 6000.0000, 0.0000, 150.0000, 0.0000, 9.0
Intruder0  0.3098, -0.1643, 5600.0000, 135.0000, 212.1320, 0.0000, 9.0
Intruder1  0.2786, 0.1543, 6200.0000, 270.0000, 90.0000, 0.0000, 9.0
Ownship  0.0069, 0.0000, 6000.0000, 0.0000, 150.0000, 0.0000, 10.0
Intruder0  0.3092, -0.1636, 5600.0000, 135.0000, 212.1320, 0.0000, 10.0
Intruder1  0.2786, 0.1539, 6200.0000, 270.0000, 90.0000, 0.0000, 10.0
Ownship  0.0076, 0.0000, 6000.0000, 0.0000, 150.0000, 0.0000, 11.0
Intruder0  0.3085, -0.1629, 5600.0000, 135.0000, 212.1320, 0.0000, 11.0
